"","congressperson_name","state","party","total_net_value","subquota_description","supplier","year"
"1","ABELARDO CAMARINHA","SP","PSB",5000,"Automotive vehicle renting or watercraft charter","SERVIÇOS EXECUTIVOS RENT A CAR",2010
"2","ABELARDO LUPION","PR","DEM",224.53,"Automotive vehicle renting or watercraft charter","L. C. COMEGNO JUNIOR - LOCAÇOES",2011
"3","ACÉLIO CASAGRANDE","SC","PMDB",5,"Automotive vehicle renting or watercraft charter","LE MANS ESTACIONAMENTO LTDA",2009
"4","ADEMIR CAMILO","MG","PODE",10,"Automotive vehicle renting or watercraft charter","SINDICATO DOS PERMISSIONARIOS DE TAXIS E MOTORISTA",2012
"5","AELTON FREITAS","MG","PR",17,"Automotive vehicle renting or watercraft charter","SINPETAXI LTDA",2011
"6","AFONSO HAMM","RS","PP",6,"Automotive vehicle renting or watercraft charter","UNIVIAS",2009
"7","ALBANO FRANCO","SE","PSDB",3510,"Automotive vehicle renting or watercraft charter","VIA DF RENT A CAR",2009
"8","ALBÉRICO FILHO","MA","PMDB",7800,"Automotive vehicle renting or watercraft charter","YSSA LOCADORA DE VEICULOS",2009
"9","ALBERTO FRAGA","DF","DEM",2500,"Automotive vehicle renting or watercraft charter","GRANCAR VEICULOS LTDA",2010
"10","ALBERTO SILVA","PI","PMDB",3300,"Automotive vehicle renting or watercraft charter","GRS LOCADORA LTDA",2009
"11","ALCENI GUERRA","PR","DEM",7.6,"Automotive vehicle renting or watercraft charter","RODOVIA DAS CATARATAS",2009
"12","ALDO REBELO","SP","PCdoB",1200,"Automotive vehicle renting or watercraft charter","DISBRAVE LOCADORA",2010
"13","ALEX CANZIANI","PR","PTB",10,"Automotive vehicle renting or watercraft charter","SINPETAXI",2011
"14","ALEXANDRE CARDOSO","RJ","PSB",6,"Automotive vehicle renting or watercraft charter","AEROPORTO INTENACIONAL DO RIO DE JANEIRO",2012
"15","ALEXANDRE SANTOS","RJ","PMDB",4700,"Automotive vehicle renting or watercraft charter","MOBILLE RENT A CAR",2012
"16","ALEXANDRE SILVEIRA","MG","PSD",4253.48,"Automotive vehicle renting or watercraft charter","LOCAR NEW VEÍCULOS E MÁQUINAS LTDA",2014
"17","ALFREDO KAEFER","PR","PSL",1500,"Automotive vehicle renting or watercraft charter","YAMAGUCHI & SILVA LTDA - EPP",2010
"18","ALICE PORTUGAL","BA","PCdoB",2500,"Automotive vehicle renting or watercraft charter","MOBILLE RENT A CAR",2012
"19","ALINE CORRÊA","SP","PP",1800,"Automotive vehicle renting or watercraft charter","MERIDIONAL LOCADORA DE VEÍCULOS LTDA",2012
"20","ANA ARRAES","PE","PSB",5,"Automotive vehicle renting or watercraft charter","LE MANS ESTACIONAMENTO LTDA",2010
"21","ANDRÉ DE PAULA","PE","PSD",6000,"Automotive vehicle renting or watercraft charter","R.M. SERVICE LTDA.",2010
"22","ANDRE VARGAS","PR","S.PART.",11.7,"Automotive vehicle renting or watercraft charter","ECONORTE",2010
"23","ANDRÉ ZACHAROW","PR","PMDB",5,"Automotive vehicle renting or watercraft charter","LE MANS ESTACIONAMENTO LTDA",2009
"24","ANDREIA ZITO","RJ","PSDB",2500,"Automotive vehicle renting or watercraft charter","SERVIÇOS EXECUTIVOS RENT A CAR",2012
"25","ANGELA AMIN","SC","PP",13,"Automotive vehicle renting or watercraft charter","SINPETÁXI",2010
"26","ANGELA PORTELA","RR","PT",1100,"Automotive vehicle renting or watercraft charter","BSB LOCADORA",2009
"27","ANGELO VANHONI","PR","PT",1596,"Automotive vehicle renting or watercraft charter","SUCESSO LOCADORA DE VEICULOS LTDA",2012
"28","ANÍBAL GOMES","CE","PMDB",5600,"Automotive vehicle renting or watercraft charter","RENT A CAR AMAZONIA LOCADORA",2011
"29","ANSELMO DE JESUS","RO","PT",2200,"Automotive vehicle renting or watercraft charter","AÇAÍ EMPREENDIMENTOS IMOBILIÁROS",2013
"30","ANTÔNIO ANDRADE","MG","PMDB",35,"Automotive vehicle renting or watercraft charter","SINPETAXI",2011
"31","ANTONIO BULHÕES","SP","PRB",2120,"Automotive vehicle renting or watercraft charter","SAGAKASA SER.FINAN.,CORRET.ELOCAÇÃO DE VEI.LTDA",2009
"32","ANTONIO CARLOS CHAMARIZ","AL","PTB",6800,"Automotive vehicle renting or watercraft charter","MONTE E FERREIRA LTDA -ME RIO'S RENT A CAR",2009
"33","ANTONIO CARLOS MAGALHÃES NETO","BA","DEM",916,"Automotive vehicle renting or watercraft charter","COOPERCLASS COOP TRANSP DE PASSAG EXEC DO BRASIL",2011
