LISTA,participant,idade,cidade,genero,escolaridade,falantenativo,item,frase,resposta,pro_gender,verbtype,verbaspect,interpretation
1.1,MC,22,Belo Horizonte,Feminino,Ensino Superior completo ou cursando,Sim,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,estava endividada há muito tempo.,f,C3,imperfective,ambiguo
1.1,JFF,21,Belo Horizonte,Feminino,Ensino Superior completo ou cursando,Sim,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,Não lembrou a senha do banco,f,C3,imperfective,source
1.1,BPLB,29,Salvador BA,Masculino,Ensino Superior completo ou cursando,Sim,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,tinha esquecido de fazê-lo anteriormente e esperava que o atraso não tivesse prejudicado a amiga.,f,C3,imperfective,source
1.1,NAME,28,Salvador,Feminino,Ensino Superior completo ou cursando,Sim,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,Tinha comprado uma blusa.,f,C3,imperfective,source
1.1,M C,22,Rio de Janeiro,Masculino,Ensino Superior completo ou cursando,Sim,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,conseguiu fazer a transação.,f,C3,imperfective,source
1.1,MA,22,São Paulo,Masculino,Ensino Superior completo ou cursando,Sim,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,era boa pagadora.,f,C3,imperfective,source
1.1,S D,20,Porto Alegre,Feminino,Ensino Superior completo ou cursando,Sim,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,precisava pagá-la.,f,C3,imperfective,source
1.1,G A T,19,Belo Horizonte,Masculino,Ensino Superior completo ou cursando,Sim,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,descobriu que o caixa automático estava com problemas,f,C3,imperfective,source
1.1,MC,22,Belo Horizonte,Feminino,Ensino Superior completo ou cursando,Sim,h,Jorge estava mandando a carta para Rafael. Ele...,finalmente teve coragem de fazer isso.,m,C3,imperfective,source
1.1,JFF,21,Belo Horizonte,Feminino,Ensino Superior completo ou cursando,Sim,h,Jorge estava mandando a carta para Rafael. Ele...,não respondeu,m,C3,imperfective,goal
1.1,BPLB,29,Salvador BA,Masculino,Ensino Superior completo ou cursando,Sim,h,Jorge estava mandando a carta para Rafael. Ele...,"esperava que Rafael tivesse mandado um modelo, mas na ausência disso fez seu melhor.",m,C3,imperfective,source
1.1,NAME,28,Salvador,Feminino,Ensino Superior completo ou cursando,Sim,h,Jorge estava mandando a carta para Rafael. Ele...,Morria de saudades.,m,C3,imperfective,source
1.1,M C,22,Rio de Janeiro,Masculino,Ensino Superior completo ou cursando,Sim,h,Jorge estava mandando a carta para Rafael. Ele...,escreveu que sentia saudade.,m,C3,imperfective,source
1.1,MA,25,São Paulo,Masculino,Ensino Superior completo ou cursando,Sim,h,Jorge estava mandando a carta para Rafael. Ele...,gostava de ser antiquado.,m,C3,imperfective,source
1.1,S D,20,Porto Alegre,Feminino,Ensino Superior completo ou cursando,Sim,h,Jorge estava mandando a carta para Rafael. Ele...,esperava por uma resposta.,m,C3,imperfective,source
1.1,G A T,19,Belo Horizonte,Masculino,Ensino Superior completo ou cursando,Sim,h,Jorge estava mandando a carta para Rafael. Ele...,precisava de um novo baterista para a banda.,m,C3,imperfective,ambiguo
1.1,MC,22,Belo Horizonte,Feminino,Ensino Superior completo ou cursando,Sim,o,Pedro chutou a lata para André. Ele...,completou o passe e acertou a lixeira.,m,C2,perfective,goal
1.1,JFF,21,Belo Horizonte,Feminino,Ensino Superior completo ou cursando,Sim,o,Pedro chutou a lata para André. Ele...,Errou,m,C2,perfective,source
1.1,BPLB,29,Salvador BA,Masculino,Ensino Superior completo ou cursando,Sim,o,Pedro chutou a lata para André. Ele...,a dominou e chutou direto no angulo da janela que eles fingiam ser o gol.,m,C2,perfective,goal
1.1,NAME,28,Salvador,Feminino,Ensino Superior completo ou cursando,Sim,o,Pedro chutou a lata para André. Ele...,Se machucou.,m,C2,perfective,source
1.1,M C,22,Rio de Janeiro,Masculino,Ensino Superior completo ou cursando,Sim,o,Pedro chutou a lata para André. Ele...,chutou de volta.,m,C2,perfective,goal
1.1,MA,25,São Paulo,Masculino,Ensino Superior completo ou cursando,Sim,o,Pedro chutou a lata para André. Ele...,parou a lata com o pé.,m,C2,perfective,goal
1.1,S D,20,Porto Alegre,Feminino,Ensino Superior completo ou cursando,Sim,o,Pedro chutou a lata para André. Ele...,derramou a tinta.,m,C2,perfective,source
1.1,G A T,19,Belo Horizonte,Masculino,Ensino Superior completo ou cursando,Sim,o,Pedro chutou a lata para André. Ele...,"esperou que André fizesse alguma coisa, mas André ficou parado.",m,C2,perfective,source
1.1,MC,22,Belo Horizonte,Feminino,Ensino Superior completo ou cursando,Sim,d,Carol enviou o email para Cláudia. Ela...,precisava de uma resposta rápida.,f,C3,perfective,source
1.1,JFF,21,Belo Horizonte,Feminino,Ensino Superior completo ou cursando,Sim,d,Carol enviou o email para Cláudia. Ela...,precisava de uma resposta,f,C3,perfective,source
1.1,BPLB,29,Salvador BA,Masculino,Ensino Superior completo ou cursando,Sim,d,Carol enviou o email para Cláudia. Ela...,esperava uma resposta a respeito da proposta do projeto que deveria ser submetido brevemente.,f,C3,perfective,ambiguo
1.1,NAME,28,Salvador,Feminino,Ensino Superior completo ou cursando,Sim,d,Carol enviou o email para Cláudia. Ela...,Desmarcou a reunião.,f,C3,perfective,source
1.1,M C,22,Rio de Janeiro,Masculino,Ensino Superior completo ou cursando,Sim,d,Carol enviou o email para Cláudia. Ela...,recebeu.,f,C3,perfective,goal
1.1,MA,25,São Paulo,Masculino,Ensino Superior completo ou cursando,Sim,d,Carol enviou o email para Cláudia. Ela...,queria tirar uma dúvida.,f,C3,perfective,source
1.1,S D,20,Porto Alegre,Feminino,Ensino Superior completo ou cursando,Sim,d,Carol enviou o email para Cláudia. Ela...,queria contar as novidades.,f,C3,perfective,source
1.1,G A T,19,Belo Horizonte,Masculino,Ensino Superior completo ou cursando,Sim,d,Carol enviou o email para Cláudia. Ela...,não respondeu até agora.,f,C3,perfective,goal
