participant,familiarity,pos.syl,pre.syl,syl
A12,3,4,2.666666667,1.333333333
A15,1,3.1,3.4,-0.3
A16,3.5,2.866666667,3,-0.133333333
A17,2,3.588235294,3.352941176,0.235294118
A18,1,2.235294118,2.176470588,0.058823529
A20,7,3,2.666666667,0.333333333
A22,6,3.153846154,2.769230769,0.384615385
A24,2,2.375,2.1875,0.1875
A25,1,2.578947368,2.052631579,0.526315789
A3,6,2.857142857,2.214285714,0.642857143
A4,1,2.909090909,3.090909091,-0.181818182
A5,2,3.8,2.4,1.4
A6,4,2.8,2.8,0
A7,6,3.636363636,3.181818182,0.454545455
B1,1,3,2.833333333,0.166666667
B3,4.5,3.615384615,2.153846154,1.461538462
B4,5.5,2.785714286,2.357142857,0.428571429
B6,4.5,3.588235294,2.647058824,0.941176471
B8,2.5,3.666666667,3.266666667,0.4
C11,7,2.733333333,2.266666667,0.466666667
C12,3.5,3.733333333,3.333333333,0.4
C13,7,2.714285714,2.5,0.214285714
C14,2,2.4375,2.125,0.3125
C19,6,3.214285714,2.571428571,0.642857143
C2,6,3.611111111,2.722222222,0.888888889
C22,5.5,2.153846154,2,0.153846154
C24,1,3.111111111,2.222222222,0.888888889
C6,5,3.1,2.6,0.5
C8,7,3.176470588,2.411764706,0.764705882
D1,1,3.85,3.35,0.5
D13,6.5,3.5,2.5625,0.9375
D14,3,2.470588235,2.470588235,0
D17,6.5,3.5,2.571428571,0.928571429
D2,1,2.8,2.7,0.1
D21,6,2.875,2.3125,0.5625
D22,3,2.764705882,2.411764706,0.352941176
D24,4,3.15,3.05,0.1
D6,1,3.45,2.85,0.6
D7,3.5,3.555555556,2.666666667,0.888888889
D8,1,3.846153846,3.769230769,0.076923077
D9,4.5,2.866666667,2.733333333,0.133333333
E10,3,3.307692308,2.538461538,0.769230769
E13,5,2.714285714,2.571428571,0.142857143
E14,4.5,3.555555556,2.5,1.055555556
E17,3,3.642857143,3.5,0.142857143
E18,1.5,2.230769231,2.307692308,-0.076923077
E20,6.5,3.117647059,2.294117647,0.823529412
E22,4.5,3.0625,2.25,0.8125
E4,2.5,2.75,2.55,0.2
E5,4,2.75,2.25,0.5
E7,1,3,3.0625,-0.0625
F1,3,3.3125,2.4375,0.875
F10,3,3.789473684,2.894736842,0.894736842
F11,3.5,3,2.8,0.2
F12,7,3.25,2.65,0.6
F13,6.5,3.529411765,2.941176471,0.588235294
F16,6.5,3.538461538,2.538461538,1
F17,6,4,3.5625,0.4375
F18,5,2.846153846,2.307692308,0.538461538
F2,2.5,3.0625,2.625,0.4375
F21,7,3.466666667,2.933333333,0.533333333
F22,6,3.277777778,2.722222222,0.555555556
F23,6,2.368421053,2.210526316,0.157894737
F24,2.5,3,2.6,0.4
F25,6,3.8125,2.6875,1.125
F26,1,2.916666667,2.916666667,0
F27,5,3.631578947,3.210526316,0.421052632
F29,1.5,3.733333333,2.733333333,1
F30,5,2.3125,2.25,0.0625
F8,2.5,2.473684211,2.210526316,0.263157895
F9,7,3.133333333,2.6,0.533333333
