"","day","cleaner","type","time"
"1","1","a","parrot",47
"2","1","b","parrot",55
"3","1","c","parrot",64
"4","1","a","shark",101
"5","1","b","shark",76
"6","1","c","shark",63
"7","2","a","parrot",25
"8","2","b","parrot",44
"9","2","c","parrot",58
"10","2","a","shark",118
"11","2","b","shark",73
"12","2","c","shark",49
"13","3","a","parrot",36
"14","3","b","parrot",62
"15","3","c","parrot",18
"16","3","a","shark",77
"17","3","b","shark",74
"18","3","c","shark",94
"19","4","a","parrot",27
"20","4","b","parrot",50
"21","4","c","parrot",59
"22","4","a","shark",100
"23","4","b","shark",108
"24","4","c","shark",45
"25","5","a","parrot",53
"26","5","b","parrot",20
"27","5","c","parrot",80
"28","5","a","shark",91
"29","5","b","shark",54
"30","5","c","shark",68
"31","6","a","parrot",24
"32","6","b","parrot",64
"33","6","c","parrot",70
"34","6","a","shark",74
"35","6","b","shark",49
"36","6","c","shark",58
"37","7","a","parrot",43
"38","7","b","parrot",45
"39","7","c","parrot",59
"40","7","a","shark",97
"41","7","b","shark",93
"42","7","c","shark",73
"43","8","a","parrot",42
"44","8","b","parrot",48
"45","8","c","parrot",48
"46","8","a","shark",89
"47","8","b","shark",38
"48","8","c","shark",71
"49","9","a","parrot",35
"50","9","b","parrot",47
"51","9","c","parrot",65
"52","9","a","shark",66
"53","9","b","shark",58
"54","9","c","shark",72
"55","10","a","parrot",45
"56","10","b","parrot",76
"57","10","c","parrot",36
"58","10","a","shark",90
"59","10","b","shark",99
"60","10","c","shark",63
"61","11","a","parrot",51
"62","11","b","parrot",40
"63","11","c","parrot",117
"64","11","a","shark",91
"65","11","b","shark",50
"66","11","c","shark",66
"67","12","a","parrot",54
"68","12","b","parrot",53
"69","12","c","parrot",61
"70","12","a","shark",77
"71","12","b","shark",76
"72","12","c","shark",67
"73","13","a","parrot",62
"74","13","b","parrot",86
"75","13","c","parrot",56
"76","13","a","shark",108
"77","13","b","shark",101
"78","13","c","shark",65
"79","14","a","parrot",72
"80","14","b","parrot",81
"81","14","c","parrot",51
"82","14","a","shark",52
"83","14","b","shark",59
"84","14","c","shark",38
"85","15","a","parrot",25
"86","15","b","parrot",77
"87","15","c","parrot",36
"88","15","a","shark",90
"89","15","b","shark",37
"90","15","c","shark",82
"91","16","a","parrot",38
"92","16","b","parrot",69
